QuestionID,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
197,6.17,5.3,2.73,4.4,4.2,5.53,1.67,2.67,5.7,4.43,1.73,3.8,5.4
293,3.57,3.1,1.4,3.23,6.33,4.77,1.4,1.9,5.8,3.27,2.23,3.03,6.1
234,5.37,4.9,3.83,4.17,2.83,5.8,1.73,4.5,6.07,4.67,1.7,3.73,3.5
115,4.4,3.53,4.97,4.87,2.17,5.73,2.27,5.67,6.2,4.63,2.47,4.07,2.17
200,5.03,5.57,2.3,1.83,5.6,4.3,2.23,5.3,5.9,4.67,3.8,4.63,2.5
298,5.17,4.3,4.9,4.7,2.5,5.67,2.1,5.53,6.17,4.93,2.6,4.73,2.6
183,3.5,3.07,1.77,2.73,5.6,4.57,1.5,2.03,5.73,4.07,3.03,3.87,6.13
152,4.13,4.8,3.8,3.03,1.63,4.13,5.73,5.7,4.83,4.23,2.1,3.67,2.23
77,4.7,3.87,3.47,3.87,3.5,4.93,1.7,4.3,5.53,4.97,2.23,4.3,3.07
18,4.37,4,4.77,5.13,1.63,5.8,1.67,5.2,5.57,3.87,1.73,3,2.97
22,3.7,3.7,4.37,4.83,1.7,4.4,6.1,5.6,3.83,3.77,1.73,3.33,2.13
26,2.47,2.2,1.6,3.8,4.97,3.47,1.2,1.77,4.8,3.87,3.8,4.47,6.53
141,4.57,5.37,3.2,2.8,1.57,5.17,5,5.67,3.47,4.07,2.13,3.67,2.2
138,4.83,4.1,2.7,3.83,3.33,4.37,1.53,3.13,5.27,4.43,2.73,3.93,4.97
13,4,2.4,1.5,3.1,5.3,3.27,1.47,1.83,5.43,4.3,3.27,4.57,5.97
14,4.57,3.8,5.07,5.53,1.97,5.4,5.63,5.83,5.6,4.27,1.73,3.2,1.8
25,5.63,5.53,5.3,2.17,1.7,2.5,1.93,4.8,5.93,5.3,4.07,4.63,3.2
184,5.33,4.93,3.47,2.8,3.73,4.77,1.5,3.73,5.93,4,2.5,3.93,4.97
82,4.77,4.47,2.47,3.23,3.57,4.97,2.23,3.37,5.73,4.77,2.2,3.93,5.13
268,2.83,3.13,1.63,3,4.17,4.47,1.4,1.93,4.97,3.6,2.57,3.27,6.33
267,3,2.7,2.8,5.83,1.87,6.03,3.8,5.17,4.8,4.53,1.7,2.77,2.97
303,2.57,2.97,3.57,5.2,1.8,4.73,3.93,4.83,4.6,4.03,2.5,3.53,2.97
149,2.3,2.3,2.67,5.57,3.2,3.67,4.9,4.7,4.23,5.07,3.5,5.23,3.03
76,4.3,3.53,4.27,5,2.3,5.27,2.07,4.33,5.23,4.63,2.33,3.73,3.77
62,5.37,4,5.2,4.37,2.67,5.13,3.8,6.4,5.9,4.8,1.7,4.2,1.6
173,5.83,4.27,5.73,4.83,3.63,4.07,3.53,6.27,6.4,4.43,1.97,4.17,2.17
177,6.27,5.8,4.9,2.2,2.27,3.43,1.73,4,6.03,4.03,1.93,3.37,4.23
160,5.77,5.8,3.2,3.9,4.33,5.1,1.6,2.5,4.33,3.7,1.57,2.9,5.63
262,3.33,2.53,2.97,5.23,3.13,5.67,3.37,5,5.2,4.73,2.43,3.87,2.83
309,6.47,5.13,2.37,3.8,4.27,3.83,2.03,3.03,5.63,2.8,1.53,2.73,5.07
310,4.3,4.4,2.1,4.13,2.8,4.77,1.8,3.2,4,4.1,3.17,3.37,5.33
40,5.33,3.23,1.53,3.83,6.57,5.67,1.37,1.53,5.87,4.6,2.4,4.27,6.43
64,3.07,2.43,1.47,3.1,5.87,3.23,1.2,1.57,4.97,3.17,3.1,4,6.67
4,4.57,5.17,4.3,3.97,2.4,5.23,6.4,5.67,5.53,4.73,1.9,3.97,2.1
156,3.7,4.3,4.33,2.67,2.1,4.7,3,4.47,5.37,3.93,2.67,3.77,2.9
35,6.53,5.17,1.57,4,6.3,5.83,1.33,1.43,6,5.23,2.6,4.53,6.57
123,3.03,1.97,1.77,5,1.5,5.37,1.53,3.3,3.4,5.8,4.2,5.47,4.53
281,6.23,4.4,2.07,3.83,6.17,3.3,1.97,2.8,6.2,2.9,1.33,2.57,5.87
143,2.77,2.5,4.33,5.17,1.53,2.73,3.97,5.1,4.77,4.47,2.83,4.03,2.7
